FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
5,,1919,Person,1919-5,35,linens,,20070517130611,19190522,digitised,JA70003000,,2398444,350053.5544,2137.9866,,
5,,1919,Person,1919-5,167.3,linens,,20070517130616,19190505,digitised,JA70003000,,2398445,1672997.7191,5086.1043,,
5,,1919,Person,1919-5,82.9,linens,,20070517130616,19190506,digitised,JA70003000,,2398446,829987.341,3788.62,,
50,,1919,Person,1919-50,4633.5,linens,,20070517130621,19190717,digitised,JA70003000,,2398447,46335275.2023,42389.9584,,
50,,1919,Lightning,1919-50,1662.9,linens,,20070517130622,19190818,digitised,JA70003000,,2398448,16629245.8946,16166.6085,,
509,,1919,Person,1919-509,78.5,linens,,20070517130612,19190925,digitised,JA70003000,,2398449,785544.409,3540.9027,,
51,,1919,Person,1919-51,16893.5,linens,,20070517130622,19190715,digitised,JA70003000,,2398450,168935187.1561,83728.5267,,
51,,1919,Lightning,1919-51,687.1,linens,,20070517130622,19190816,digitised,JA70003000,,2398451,6871249.3238,10105.976,,
510,,1919,Person,1919-510,60.9,linens,,20070517130612,19190924,digitised,JA70003000,,2398452,609003.0654,3898.3101,,
511,,1919,Person,1919-511,111.5,linens,,20070517130612,19190922,digitised,JA70003000,,2398453,1115371.1885,4646.5512,,
52,,1919,Lightning,1919-52,306.5,linens,,20070517130611,19190819,digitised,JA70003000,,2398454,3065452.3432,6580.6689,,
529,,1919,Person,1919-529,318.7,linens,,20070517130626,19190812,assumed_shape,JA70003000,,2398455,3187397.292,7518.0138,,
52b,,1919,Person,1919-52b,50,linens,,20070517130624,19190621,assumed_shape,JA70003000,,2398456,500662.5947,3041.7255,,
53,,1919,Person,1919-53,465.7,linens,,20070517130611,19190825,digitised,JA70003000,,2398457,4657416.921,8149.3467,,
532,,1919,Person,1919-532,58.9,linens,,20070517130624,19190927,assumed_shape,JA70003000,,2398458,589354.3683,4025.0917,,
533,,1919,Person,1919-533,37.8,linens,,20070517130613,19190823,digitised,JA70003000,,2398459,378195.3368,3711.5247,,
54,,1919,Person,1919-54,841.4,linens,,20070517130622,19190720,digitised,JA70003000,,2398460,8414858.1209,13571.7472,,
540,,1919,Person,1919-540,314.1,linens,,20070517130614,19190811,digitised,JA70003000,,2398461,3141628.4706,10885.832,,
544,,1919,Person,1919-544,43,linens,,20070517130623,19190925,assumed_shape,JA70003000,,2398462,430476.2966,2333.7503,,
547,,1919,Person,1919-547,211.3,linens,,20070517130613,19190920,digitised,JA70003000,,2398463,2113612.5313,5783.0444,,
55,,1919,Person,1919-55,2818.7,linens,,20070517130648,19190611,digitised,JA70003000,,2398464,28187047.7619,24849.3697,,
59a,,1919,Person,1919-59a,2145.7,linens,,20070517130616,19190718,digitised,JA70003000,,2398478,21457327.472,26028.6052,,
6,,1919,Person,1919-6,40.8,linens,,20070517130617,19190528,digitised,JA70003000,,2398479,408538.8159,2731.6618,,
60,,1919,Person,1919-60,2914.5,linens,,20070517130615,19190721,digitised,JA70003000,,2398480,29145380.3566,24428.7286,,
